ID	Node	Type
152	ALOBUEHUHMBRLE-UHFFFAOYSA-N	Drug
153	HHJUWIANJFBDHT-ZVTSDNJWSA-N	Drug
154	JIVPVXMEBJLZRO-UHFFFAOYSA-N	Drug
155	WEXRUCMBJFQVBZ-UHFFFAOYSA-N	Drug
156	NIJJYAXOARWZEE-UHFFFAOYSA-N	Drug
157	VCOPTHOUUNAYKQ-WBTCAYNUSA-N	Drug
158	ULSDMUVEXKOYBU-ZDUSSCGKSA-N	Drug
159	RZVAJINKPMORJF-UHFFFAOYSA-N	Drug
160	XGALLCVXEZPNRQ-UHFFFAOYSA-N	Drug
161	OROGSEYTTFOCAN-DNJOTXNNSA-N	Drug
162	IVBHGBMCVLDMKU-GXNBUGAJSA-N	Drug
163	LUZRJRNZXALNLM-JGRZULCMSA-N	Drug
164	KRMDCWKBEZIMAB-UHFFFAOYSA-N	Drug
165	ODKNJVUHOIMIIZ-RRKCRQDMSA-N	Drug
166	MIQPIUSUKVNLNT-UHFFFAOYSA-N	Drug
167	FAOZLTXFLGPHNG-KNAQIMQKSA-N	Drug
168	ASPOIVQEUUCDQT-UHFFFAOYSA-N	Drug
169	FATUQANACHZLRT-KMRXSBRUSA-L	Drug
170	WVLOADHCBXTIJK-YNHQPCIGSA-N	Drug
171	CGIGDMFJXJATDK-UHFFFAOYSA-N	Drug
172	AEUTYOVWOVBAKS-UWVGGRQHSA-N	Drug
173	XZWYZXLIPXDOLR-UHFFFAOYSA-N	Drug
174	OEXHQOGQTVQTAT-BHIXFJMTSA-N	Drug
175	USSIQXCVUWKGNF-UHFFFAOYSA-N	Drug
176	KVWDHTXUZHCGIO-UHFFFAOYSA-N	Drug
177	METKIMKYRPQLGS-UHFFFAOYSA-N	Drug
178	KASDHRXLYQOAKZ-XDSKOBMDSA-N	Drug
179	SUBDBMMJDZJVOS-UHFFFAOYSA-N	Drug
180	IPEHBUMCGVEMRF-UHFFFAOYSA-N	Drug
181	MJFJKKXQDNNUJF-UHFFFAOYSA-N	Drug
182	ZKLPARSLTMPFCP-UHFFFAOYSA-N	Drug
183	GUGOEEXESWIERI-UHFFFAOYSA-N	Drug
184	HSUGRBWQSSZJOP-RTWAWAEBSA-N	Drug
185	BWPIARFWQZKAIA-UHFFFAOYSA-N	Drug
186	HSMNQINEKMPTIC-UHFFFAOYSA-N	Drug
187	WNMJYKCGWZFFKR-UHFFFAOYSA-N	Drug
188	IRYJRGCIQBGHIV-UHFFFAOYSA-N	Drug
189	CXOXHMZGEKVPMT-UHFFFAOYSA-N	Drug
190	ZFMITUMMTDLWHR-UHFFFAOYSA-N	Drug
191	RQZAXGRLVPAYTJ-GQFGMJRRSA-N	Drug
192	WYWHKKSPHMUBEB-UHFFFAOYSA-N	Drug
193	UNBRKDKAWYKMIV-QWQRMKEZSA-N	Drug
194	MOYGZHXDRJNJEP-UHFFFAOYSA-N	Drug
195	WZPBZJONDBGPKJ-VEHQQRBSSA-N	Drug
196	TZFWDZFKRBELIQ-UHFFFAOYSA-N	Drug
197	ROBVIMPUHSLWNV-UHFFFAOYSA-N	Drug
198	XEEQGYMUWCZPDN-UHFFFAOYSA-N	Drug
199	SEEPANYCNGTZFQ-UHFFFAOYSA-N	Drug
200	FNKQXYHWGSIFBK-RPDRRWSUSA-N	Drug
201	GBABOYUKABKIAF-IELIFDKJSA-N	Drug
202	QZUDBNBUXVUHMW-UHFFFAOYSA-N	Drug
203	IPLJAZDIICJQEL-JTJNLBSYSA-A	Drug
204	AIJTTZAVMXIJGM-UHFFFAOYSA-N	Drug
205	HCFDWZZGGLSKEP-UHFFFAOYSA-N	Drug
206	WWYNJERNGUHSAO-XUDSTZEESA-N	Drug
207	SFLSHLFXELFNJZ-QMMMGPOBSA-N	Drug
208	VWFCHDSQECPREK-LURJTMIESA-N	Drug
209	RONZAEMNMFQXRA-UHFFFAOYSA-N	Drug
210	NPPQSCRMBWNHMW-UHFFFAOYSA-N	Drug
211	XCTYLCDETUVOIP-UHFFFAOYSA-N	Drug
212	BLJRIMJGRPQVNF-JTQLQIEISA-N	Drug
213	PAJMKGZZBBTTOY-ZFORQUDYSA-N	Drug
214	GMRWGQCZJGVHKL-UHFFFAOYSA-N	Drug
215	HWHLPVGTWGOCJO-UHFFFAOYSA-N	Drug
216	CPZBLNMUGSZIPR-NVXWUHKLSA-N	Drug
217	JGMOKGBVKVMRFX-HQZYFCCVSA-N	Drug
218	VLPIATFUUWWMKC-UHFFFAOYSA-N	Drug
219	BMKDZUISNHGIBY-ZETCQYMHSA-N	Drug
220	HTIQEAQVCYTUBX-UHFFFAOYSA-N	Drug
221	YLJREFDVOIBQDA-UHFFFAOYSA-N	Drug
222	DUDKAZCAISNGQN-UHFFFAOYSA-N	Drug
223	FNYLWPVRPXGIIP-UHFFFAOYSA-N	Drug
224	ZOCKGBMQLCSHFP-KQRAQHLDSA-N	Drug
225	WYDUSKDSKCASEF-UHFFFAOYSA-N	Drug
226	SONNWYBIRXJNDC-VIFPVBQESA-N	Drug
227	CFOYWRHIYXMDOT-UHFFFAOYSA-N	Drug
228	LTMHDMANZUZIPE-PUGKRICDSA-N	Drug
229	BGRJTUBHPOOWDU-UHFFFAOYSA-N	Drug
230	CDOZDBSBBXSXLB-UHFFFAOYSA-N	Drug
231	UIAGMCDKSXEBJQ-UHFFFAOYSA-N	Drug
232	KUVIULQEHSCUHY-XYWKZLDCSA-N	Drug
233	OFZCIYFFPZCNJE-UHFFFAOYSA-N	Drug
234	RJKFOVLPORLFTN-LEKSSAKUSA-N	Drug
235	DLNKOYKMWOXYQA-UHFFFAOYSA-N	Drug
236	MLDQJTXFUGDVEO-UHFFFAOYSA-N	Drug
237	XRASPMIURGNCCH-UHFFFAOYSA-N	Drug
238	DDUHZTYCFQRHIY-RBHXEPJQSA-N	Drug
239	VKQFCGNPDRICFG-UHFFFAOYSA-N	Drug
240	GBBSUAFBMRNDJC-INIZCTEOSA-N	Drug
241	VREFGVBLTWBCJP-UHFFFAOYSA-N	Drug
242	ZDIGNSYAACHWNL-HNNXBMFYSA-N	Drug
243	XJGVXQDUIWGIRW-UHFFFAOYSA-N	Drug
244	GUJRSXAPGDDABA-NSHDSACASA-N	Drug
245	MINDHVHHQZYEEK-HBBNESRFSA-N	Drug
246	VPJXQGSRWJZDOB-UHFFFAOYSA-O	Drug
247	YASAKCUCGLMORW-UHFFFAOYSA-N	Drug
248	FASDKYOPVNHBLU-ZETCQYMHSA-N	Drug
249	VGZSUPCWNCWDAN-UHFFFAOYSA-N	Drug
250	AVKUERGKIZMTKX-NJBDSQKTSA-N	Drug
251	DIGFQJFCDPKEPF-OIUSMDOTSA-L	Drug
252	BPLBGHOLXOTWMN-MBNYWOFBSA-N	Drug
253	KQPKPCNLIDLUMF-UHFFFAOYSA-N	Drug
254	ZGUGWUXLJSTTMA-UHFFFAOYSA-N	Drug
255	LXMSZDCAJNLERA-ZHYRCANASA-N	Drug
256	DUGOZIWVEXMGBE-UHFFFAOYSA-N	Drug
257	GNXFOGHNGIVQEH-UHFFFAOYSA-N	Drug
258	RKUNBYITZUJHSG-FXUDXRNXSA-N	Drug
259	ZAFYATHCZYHLPB-UHFFFAOYSA-N	Drug
260	CBEQULMOCCWAQT-WOJGMQOQSA-N	Drug
261	ZSJLQEPLLKMAKR-GKHCUFPYSA-N	Drug
262	UMMADZJLZAPZAW-XOWPVRJPSA-N	Drug
263	PWAUCHMQEXVFJR-PMAPCBKXSA-N	Drug
264	JLYXXMFPNIAWKQ-GNIYUCBRSA-N	Drug
265	VSQQQLOSPVPRAZ-RRKCRQDMSA-N	Drug
266	WIKYUJGCLQQFNW-UHFFFAOYSA-N	Drug
267	JJCFRYNCJDLXIK-UHFFFAOYSA-N	Drug
268	MWUXSHHQAYIFBG-UHFFFAOYSA-N	Drug
269	HDWIHXWEUNVBIY-UHFFFAOYSA-N	Drug
270	OFCNXPDARWKPPY-UHFFFAOYSA-N	Drug
271	ORFOPKXBNMVMKC-DWVKKRMSSA-N	Drug
272	SEERZIQQUAZTOL-ANMDKAQQSA-N	Drug
273	IEDVJHCEMCRBQM-UHFFFAOYSA-N	Drug
274	SDUQYLNIPVEERB-QPPQHZFASA-N	Drug
275	QDGZDCVAUDNJFG-FXQIFTODSA-N	Drug
276	UREBDLICKHMUKA-DVTGEIKXSA-N	Drug
277	NRUKOCRGYNPUPR-QBPJDGROSA-N	Drug
278	AOJJSUZBOXZQNB-VTZDEGQISA-N	Drug
279	WIIZWVCIJKGZOK-RKDXNWHRSA-N	Drug
280	JAPHQRWPEGVNBT-UTUOFQBUSA-N	Drug
281	MJIHNNLFOKEZEW-UHFFFAOYSA-N	Drug
282	OCUJLLGVOUDECM-UHFFFAOYSA-N	Drug
283	RMEDXOLNCUSCGS-UHFFFAOYSA-N	Drug
284	XUIIKFGFIJCVMT-LBPRGKRZSA-N	Drug
285	PGBHMTALBVVCIT-VCIWKGPPSA-N	Drug
286	XADCESSVHJOZHK-UHFFFAOYSA-N	Drug
287	JCCNYMKQOSZNPW-UHFFFAOYSA-N	Drug
288	XIURVHNZVLADCM-IUODEOHRSA-N	Drug
289	IENZQIKPVFGBNW-UHFFFAOYSA-N	Drug
290	BCGWQEUPMDMJNV-UHFFFAOYSA-N	Drug
291	IHUNBGSDBOWDMA-AQFIFDHZSA-N	Drug
292	YTZALCGQUPRCGW-MXVXOLGGSA-N	Drug
293	BLXXJMDCKKHMKV-UHFFFAOYSA-N	Drug
294	CXYRUNPLKGGUJF-RAFJPFSSSA-M	Drug
295	OZWKMVRBQXNZKK-UHFFFAOYSA-N	Drug
296	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	Drug
297	LOUPRKONTZGTKE-WZBLMQSHSA-N	Drug
298	LZNWYQJJBLGYLT-UHFFFAOYSA-N	Drug
299	CYQFCXCEBYINGO-IAGOWNOFSA-N	Drug
300	UCHDWCPVSPXUMX-TZIWLTJVSA-N	Drug
301	RTHCYVBBDHJXIQ-UHFFFAOYSA-N	Drug
302	NZXKDOXHBHYTKP-UHFFFAOYSA-N	Drug
303	ANTSCNMPPGJYLG-UHFFFAOYSA-N	Drug
304	ZEUITGRIYCTCEM-KRWDZBQOSA-N	Drug
305	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	Drug
306	LKCWBDHBTVXHDL-RMDFUYIESA-N	Drug
307	GOTYRUGSSMKFNF-UHFFFAOYSA-N	Drug
308	GZUITABIAKMVPG-UHFFFAOYSA-N	Drug
309	RZEKVGVHFLEQIL-UHFFFAOYSA-N	Drug
310	REEUVFCVXKWOFE-UHFFFAOYSA-K	Drug
311	XYLJNLCSTIOKRM-UHFFFAOYSA-N	Drug
312	YFAGHNZHGGCZAX-JKIFEVAISA-N	Drug
313	GECBBEABIDMGGL-RTBURBONSA-N	Drug
314	FHFYDNQZQSQIAI-UHFFFAOYSA-N	Drug
315	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	Drug
316	ZBMZVLHSJCTVON-UHFFFAOYSA-N	Drug
317	QWCRAEMEVRGPNT-UHFFFAOYSA-N	Drug
318	IBAQFPQHRJAVAV-ULAWRXDQSA-N	Drug
319	BIDNLKIUORFRQP-FLODCBCLSA-N	Drug
320	GPRBEKHLDVQUJE-QSWIMTSFSA-N	Drug
321	JRURYQJSLYLRLN-BJMVGYQFSA-N	Drug
322	HBOMLICNUCNMMY-XLPZGREQSA-N	Drug
323	HXGBXQDTNZMWGS-RUZDIDTESA-N	Drug
324	BRUQQQPBMZOVGD-XFKAJCMBSA-N	Drug
325	NFBAXHOPROOJAW-UHFFFAOYSA-N	Drug
326	MKXKFYHWDHIYRV-UHFFFAOYSA-N	Drug
327	UPSPUYADGBWSHF-UHFFFAOYSA-N	Drug
328	AQIXAKUUQRKLND-UHFFFAOYSA-N	Drug
329	LNEPOXFFQSENCJ-UHFFFAOYSA-N	Drug
330	NCDNCNXCDXHOMX-XGKFQTDJSA-N	Drug
331	OZYUPQUCAUTOBP-QXAKKESOSA-N	Drug
332	XSCGXQMFQXDFCW-UHFFFAOYSA-N	Drug
333	HPMZBILYSWLILX-UMDUKNJSSA-N	Drug
334	MYPYJXKWCTUITO-LYRMYLQWSA-N	Drug
335	SLXKOJJOQWFEFD-UHFFFAOYSA-N	Drug
336	MKXZASYAUGDDCJ-NJAFHUGGSA-N	Drug
337	LXZZYRPGZAFOLE-UHFFFAOYSA-L	Drug
338	QSFKGMJOKUZAJM-UHFFFAOYSA-M	Drug
339	HXHWSAZORRCQMX-UHFFFAOYSA-N	Drug
340	VXFJYXUZANRPDJ-WTNASJBWSA-N	Drug
341	JYIKNQVWKBUSNH-WVDDFWQHSA-N	Drug
342	LWAFSWPYPHEXKX-UHFFFAOYSA-N	Drug
343	SHGAZHPCJJPHSC-ZVCIMWCZSA-N	Drug
344	AQCHWTWZEMGIFD-UHFFFAOYSA-N	Drug
345	ZROHGHOFXNOHSO-BNTLRKBRSA-L	Drug
346	PUFQVTATUTYEAL-UHFFFAOYSA-N	Drug
347	ZDXUKAKRHYTAKV-UHFFFAOYSA-N	Drug
348	ZJAOAACCNHFJAH-UHFFFAOYSA-N	Drug
349	AAKJLRGGTJKAMG-UHFFFAOYSA-N	Drug
350	CMSMOCZEIVJLDB-UHFFFAOYSA-N	Drug
351	GMHKMTDVRCWUDX-UHFFFAOYSA-N	Drug
352	RZJQGNCSTQAWON-UHFFFAOYSA-N	Drug
353	RTXOFQZKPXMALH-GHXIOONMSA-N	Drug
354	ZRALSGWEFCBTJO-UHFFFAOYSA-N	Drug
355	MYSWGUAQZAJSOK-UHFFFAOYSA-N	Drug
356	XFCLJVABOIYOMF-QPLCGJKRSA-N	Drug
357	PHVGLTMQBUFIQQ-UHFFFAOYSA-N	Drug
358	OGWKCGZFUXNPDA-CFWMRBGOSA-N	Drug
359	XPCFTKFZXHTYIP-PMACEKPBSA-N	Drug
360	QWGDMFLQWFTERH-UHFFFAOYSA-N	Drug
361	GHASVSINZRGABV-UHFFFAOYSA-N	Drug
362	RVOLLAQWKVFTGE-UHFFFAOYSA-N	Drug
363	VWVSBHGCDBMOOT-IIEHVVJPSA-N	Drug
364	BDJRBEYXGGNYIS-UHFFFAOYSA-N	Drug
365	YEEZWCHGZNKEEK-UHFFFAOYSA-N	Drug
366	KNAHARQHSZJURB-UHFFFAOYSA-N	Drug
367	FPVKHBSQESCIEP-JQCXWYLXSA-N	Drug
368	QXKHYNVANLEOEG-UHFFFAOYSA-N	Drug
369	QYSPLQLAKJAUJT-UHFFFAOYSA-N	Drug
370	PYZRQGJRPPTADH-UHFFFAOYSA-N	Drug
371	QYSGYZVSCZSLHT-UHFFFAOYSA-N	Drug
372	ZQDWXGKKHFNSQK-UHFFFAOYSA-N	Drug
373	ARAIBEBZBOPLMB-UFGQHTETSA-N	Drug
374	GJPICJJJRGTNOD-UHFFFAOYSA-N	Drug
375	FPZLLRFZJZRHSY-HJYUBDRYSA-N	Drug
376	XFDJYSQDBULQSI-UHFFFAOYSA-N	Drug
377	NDTSRXAMMQDVSW-UHFFFAOYSA-N	Drug
378	FBOZXECLQNJBKD-ZDUSSCGKSA-N	Drug
379	FFGPTBGBLSHEPO-UHFFFAOYSA-N	Drug
380	YXSLJKQTIDHPOT-LJCJQEJUSA-N	Drug
381	ACTRVOBWPAIOHC-XIXRPRMCSA-N	Drug
382	ZAIPMKNFIOOWCQ-UEKVPHQBSA-N	Drug
383	DERZBLKQOCDDDZ-JLHYYAGUSA-N	Drug
384	KANJSNBRCNMZMV-ABRZTLGGSA-N	Drug
385	JXLYSJRDGCGARV-CFWMRBGOSA-N	Drug
386	AQHHHDLHHXJYJD-UHFFFAOYSA-N	Drug
387	RKUNBYITZUJHSG-SPUOUPEWSA-N	Drug
388	RDJGLLICXDHJDY-UHFFFAOYSA-N	Drug
389	DBGIVFWFUFKIQN-UHFFFAOYSA-N	Drug
390	GJSURZIOUXUGAL-UHFFFAOYSA-N	Drug
391	VACCAVUAMIDAGB-UHFFFAOYSA-N	Drug
392	HDOVUKNUBWVHOX-QMMMGPOBSA-N	Drug
393	FPPNZSSZRUTDAP-UWFZAAFLSA-N	Drug
394	ZPXSCAKFGYXMGA-UHFFFAOYSA-N	Drug
395	LNPDTQAFDNKSHK-UHFFFAOYSA-N	Drug
396	JCQLYHFGKNRPGE-FCVZTGTOSA-N	Drug
397	BCEHBSKCWLPMDN-MGPLVRAMSA-N	Drug
398	PHIQHXFUZVPYII-ZCFIWIBFSA-N	Drug
399	GBXSMTUPTTWBMN-XIRDDKMYSA-N	Drug
400	SGXXNSQHWDMGGP-UHFFFAOYSA-N	Drug
401	DCOPUUMXTXDBNB-UHFFFAOYSA-N	Drug
402	WMWTYOKRWGGJOA-CENSZEJFSA-N	Drug
403	BKRGVLQUQGGVSM-KBXCAEBGSA-N	Drug
404	RUZYUOTYCVRMRZ-UHFFFAOYSA-N	Drug
405	FEBLZLNTKCEFIT-VSXGLTOVSA-N	Drug
406	GLUUGHFHXGJENI-UHFFFAOYSA-N	Drug
407	HAPOVYFOVVWLRS-UHFFFAOYSA-N	Drug
408	XSDQTOBWRPYKKA-UHFFFAOYSA-N	Drug
409	IWVCMVBTMGNXQD-PXOLEDIWSA-N	Drug
410	LEHFPXVYPMWYQD-XHIJKXOTSA-N	Drug
411	DPNNNPAKRZOSMO-UHFFFAOYSA-K	Drug
412	SGUAFYQXFOLMHL-UHFFFAOYSA-N	Drug
413	IUJDSEJGGMCXSG-UHFFFAOYSA-N	Drug
414	TYZROVQLWOKYKF-ZDUSSCGKSA-N	Drug
415	SPBDXSGPUHCETR-JFUDTMANSA-N	Drug
